part_id,hh_id,part_age,part_gender,contacts,country,hh_size,sday_id,day,month,year,dayofweek,age_grp,hh_size_grp
1,Mo08HH1,8,F,20,IT,3,20060525,25,5,2006,4,1,3
2,Mo08HH2,6,M,4,IT,3,20060525,25,5,2006,4,1,3
3,Mo08HH3,0,F,15,IT,3,20060525,25,5,2006,4,0,3
4,Mo08HH4,1,M,7,IT,3,20060526,26,5,2006,5,0,3
5,Mo08HH5,2,M,25,IT,4,20060525,25,5,2006,4,0,4
6,Mo08HH6,7,M,19,IT,4,20060525,25,5,2006,4,1,4
7,Mo08HH7,2,M,7,IT,5,20060525,25,5,2006,4,0,5
8,Mo08HH8,5,M,9,IT,5,20060524,24,5,2006,3,1,5
9,Mo08HH9,3,M,28,IT,4,20060524,24,5,2006,3,0,4
10,Mo08HH10,3,F,18,IT,4,20060525,25,5,2006,4,0,4
11,Mo08HH11,4,M,8,IT,5,20060524,24,5,2006,3,0,5
12,Mo08HH12,2,F,4,IT,3,20060525,25,5,2006,4,0,3
13,Mo08HH13,8,M,37,IT,4,20060518,18,5,2006,4,1,4
14,Mo08HH14,2,M,9,IT,4,20060525,25,5,2006,4,0,4
15,Mo08HH15,2,F,7,IT,3,20060524,24,5,2006,3,0,3
16,Mo08HH16,5,M,20,IT,3,20060523,23,5,2006,2,1,3
17,Mo08HH17,8,M,23,IT,6,20060528,28,5,2006,0,1,5
18,Mo08HH18,4,F,5,IT,3,20060528,28,5,2006,0,0,3
19,Mo08HH19,3,M,17,IT,4,20060527,27,5,2006,6,0,4
20,Mo08HH20,3,M,27,IT,4,20060526,26,5,2006,5,0,4
21,Mo08HH21,2,F,14,IT,5,20060526,26,5,2006,5,0,5
22,Mo08HH22,3,M,16,IT,5,20060525,25,5,2006,4,0,5
23,Mo08HH23,8,F,28,IT,4,20060525,25,5,2006,4,1,4
24,Mo08HH24,6,M,12,IT,4,20060526,26,5,2006,5,1,4
25,Mo08HH25,5,M,4,IT,4,20060525,25,5,2006,4,1,4
